number,name,status
1,PEP Purpose and Guidelines,"Process, Active"
2,Procedure for Adding New Modules,"Process, Active"
4,Deprecation of Standard Modules,"Process, Active"
7,Style Guide for C Code,"Process, Active"
8,Style Guide for Python Code,"Process, Active"
10,Voting Guidelines,"Process, Active"
11,CPython platform support,"Process, Active"
12,Sample reStructuredText PEP Template,"Process, Active"
13,Python Language Governance,"Process, Active"
387,Backwards Compatibility Policy,"Process, Active"
545,Python Documentation Translations,"Process, Active"
602,Annual Release Cycle for Python,"Process, Active"
609,Python Packaging Authority (PyPA) Governance,"Process, Active"
676,PEP Infrastructure Process,"Process, Active"
729,Typing governance process,"Process, Active"
731,C API Working Group Charter,"Process, Active"
732,The Python Documentation Editorial Board,"Process, Active"
761,Deprecating PGP signatures for CPython artifacts,"Process, Active"
20,The Zen of Python,"Informational, Active"
101,Doing Python Releases 101,"Informational, Active"
247,API for Cryptographic Hash Functions,"Informational, Final"
248,Python Database API Specification v1.0,"Informational, Final"
249,Python Database API Specification v2.0,"Informational, Final"
257,Docstring Conventions,"Informational, Active"
272,API for Block Encryption Algorithms v1.0,"Informational, Final"
287,reStructuredText Docstring Format,"Informational, Active"
290,Code Migration and Modernization,"Informational, Active"
333,Python Web Server Gateway Interface v1.0,"Informational, Final"
394,The “python” Command on Unix-Like Systems,"Informational, Active"
399,Pure Python/C Accelerator Module Compatibility Requirements,"Informational, Final"
430,Migrating to Python 3 as the default online documentation,"Informational, Final"
434,IDLE Enhancement Exception for All Branches,"Informational, Active"
452,API for Cryptographic Hash Functions v2.0,"Informational, Final"
457,Notation For Positional-Only Parameters,"Informational, Final"
482,Literature Overview for Type Hints,"Informational, Final"
483,The Theory of Type Hints,"Informational, Final"
514,Python registration in the Windows registry,"Informational, Active"
579,Refactoring C functions and methods,"Informational, Final"
588,GitHub Issues Migration Plan,"Informational, Final"
596,Python 3.9 Release Schedule,"Informational, Active"
607,Reducing CPython’s Feature Delivery Latency,"Informational, Final"
619,Python 3.10 Release Schedule,"Informational, Active"
630,Isolating Extension Modules,"Informational, Final"
635,Structural Pattern Matching: Motivation and Rationale,"Informational, Final"
636,Structural Pattern Matching: Tutorial,"Informational, Final"
659,Specializing Adaptive Interpreter,"Informational, Final"
664,Python 3.11 Release Schedule,"Informational, Active"
672,Unicode-related Security Considerations for Python,"Informational, Active"
693,Python 3.12 Release Schedule,"Informational, Active"
719,Python 3.13 Release Schedule,"Informational, Active"
733,An Evaluation of Python’s Public C API,"Informational, Final"
745,Python 3.14 Release Schedule,"Informational, Active"
762,REPL-acing the default REPL,"Informational, Final"
801,Reserved,"Informational, Active"
3333,Python Web Server Gateway Interface v1.0.1,"Informational, Final"
8000,Python Language Governance Proposal Overview,"Informational, Final"
8002,Open Source Governance Survey,"Informational, Final"
8016,The Steering Council Model,"Informational, Accepted"
8100,January 2019 Steering Council election,"Informational, Final"
8101,2020 Term Steering Council election,"Informational, Final"
8102,2021 Term Steering Council election,"Informational, Final"
8103,2022 Term Steering Council election,"Informational, Final"
8104,2023 Term Steering Council election,"Informational, Final"
8105,2024 Term Steering Council election,"Informational, Final"
8106,2025 Term Steering Council election,"Informational, Final"
639,Improving License Clarity with Better Package Metadata,"Standards Track, Provisional"
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,"Standards Track, Provisional"
458,Secure PyPI downloads with signed repository metadata,"Standards Track, Accepted"
563,Postponed Evaluation of Annotations,"Standards Track, Accepted"
590,Vectorcall: a fast calling protocol for CPython,"Standards Track, Accepted"
